"question","answer"
"What is Academic Progression?","Academic Progression is an assessment of your academic performance. At the end of each semester or trimester, your academic performance is assessed to determine your eligibility to continue studying your course. Academic Progression details can be viewed on studentConnect.

If you have made satisfactory progress you will be assigned the status of ""Good Standing"". You will then be permitted to re-enrol.
If you have failed to make satisfactory progress you may be placed on probation, suspended or excluded.

NOTE: This does not apply to Higher Degree by Research students. If you are a HDR student please contact the Graduate Research School for clarification on your course status."
"My Progress Status is Good Standing. What does this mean?","Congratulations, your academic performance has been assessed and determined you are eligible to re-enrol. You may continue studying your course and re-enrol."
"My Progress Status is Suspended. What does this mean?","If your progress status shows as ‘Suspended’ in studentConnect, it means you have not made satisfactory progress in your course, and your enrolment has been suspended.
You will not be able to re-enrol in your course in the next semester or trimester. You will receive an email from the University explaining your progress status, and the things you should do next.
Things to do next

Make an appointment with your Student Advising Office, they will help you figure out a plan for when you recommence your course.
Access the support services available at Student Support, such as counselling and STUDYSmarter.
If there were circumstances, such as illness, that affected your academic performance or if you believe your progress status does not fairly reflect the worth of the academic work you submitted, you can lodge a request for review within 20 days of receiving your progress status notification.
If you are an international student, you must contact the International Student Adviser to find out how your progress status affects your Student Visa.

NOTE: This does not apply to Higher Degree by Research students. If you are a HDR student please contact the Graduate Research School for clarification on your course status."
"My Progress Status is Excluded. What does this mean?","If your progress status shows as ‘Excluded' in studentConnect, it means you have not made satisfactory progress in your course and you are unable to re-enrol in your course. You will receive an email from the University explaining your progress status, and the things you should do next.
It's important you familiarise yourself with the University Policy on Academic Progress.
Things to do next

If there were circumstances, such as illness, that affected your academic performance or if you believe your progress status does not fairly reflect the worth of the academic work you submitted, you can lodge a request for review within 20 days of receiving your progress status notification.
If you are an international student, you must contact the International Student Adviser to find out how your progress status affects your Student Visa.
If you believe your circumstances have changed after 12 months of exclusion, you may apply for readmission to your course."
"I received a grade of FN (Fail due to non completion). What can I do?","You were awarded the grade FN because you withdrew after the last date you could withdraw without incurring an academic penalty.
If you believe there are extenuating circumstances explaining your late withdrawal, make an appointment with your Student Advising Office to discuss your circumstances."
"Can I appeal the result of my Honours thesis?","You can appeal the outcome of your Honours thesis if you are dissatisfied with the result awarded to you. Lodge an appeal in accordance with the appeal process."
"What should I do if I think the grade for one of my units is wrong?","If you think the grade for one of your units is wrong, contact your unit coordinator to have your result checked. If you are still not satisfied then you may submit a Review.
It is recommended you informally discuss your concerns with the relevant unit coordinator prior to lodging a formal request for a Review. Formal requests for review must be lodged within 10 working days of receipt of the academic decision. You will also need to determine whether you have grounds for a review in accordance with the University Policy on Review & Appeal of Academic Decisions Relating to Students."
"How do I apply for an extension of the due-date for my assignment?","Extensions are normally only granted if there are exceptional circumstances affecting your study, which you can substantiate with supporting documentation. To apply for an extension you need to:

Submit an application for Special Consideration no later than three University working days after the assessment is due or class missed); and
Attach supporting documents or evidence. For example, a medical certificate. 

Your application and supporting documentation will be treated confidentially.
Full details on Special Consideration, including eligibility criteria is published online on our Current Students' website."
"Can I find out my marks for each of my assignments?","Unit Coordinators are expected to be able to explain the mark awarded to you. Your work will be discussed in terms of the learning outcomes and marking criteria set for the unit.
Your Unit Coordinator can also, on request, arrange for you to view your marked examination scripts.
Some large units have a formal review session. You are expected to use these where available."
"Do I have to attend all my classes?","You are expected to attend all compulsory classes for your units, including labs, tutorials, seminars, workshops, etc. For some units, your assessment may include class participation and you may be required to attend/participate in a minimum number of classes. This may involve in-person or online attendance, depending on the mode of teaching in the unit. Check the unit outline and information on the Learning Management System (LMS) for details on attendance requirements for your unit/s.
If you are unable to attend a compulsory class, you should contact your Unit Coordinator as soon as possible. In some circumstances, you can apply to your Student Advising Office for Special Consideration, if you are eligible."
"What marks will I get for my supplementary examination?","If you pass your supplementary exam you will receive a grade of PS (Pass Supplementary). No mark will show on your record, however a mark of 50% will be used to calculate your WAM (Weighted Average Mark) and GPA (Grade Point Average).
If you fail your supplementary exam you will receive a grade of FS (Fail Supplementary). The original mark will show on your record and be used to calculate your WAM (Weighted Average Mark) and GPA (Grade Point Average) you received."
"When and where are my deferred/supplementary exams held?","Your personal exam timetable details are released at least 10 days before the commencement of each examination period on studentConnect.
Details on when the deferred/supplementary exams are held are available online. It is your responsibility to check these dates.
All supplementary and deferred examinations are held on campus at The University of Western Australia or online. Your exam timetable will include details about the location of each examination."
"What is special consideration?","Special consideration allows schools to take into account significant factors that may have affected your academic preparation or performance. If you think something serious is affecting your study contact your Student Advising Office as soon as possible.
Applications for special consideration must be submitted no later than three University working days after the date on which the relevant work for assessment was due. Evidence to support extenuating circumstances will be required as part of the application process if you submit after three University working days."
"What if I am ill during or before my exam period?","If you are ill during the exam period it is important you tell us by contacting your Student Advising Office as soon as possible. You may also apply for special consideration."
"What happens if I arrive late for my exam?","If you're up to 60 minutes late for your exam, you can still sit the exam, but you will not be granted extra time.
ON CAMPUS
What you should do when you arrive on campus depends on how late you are running for your exam.
•    If you are up to 60 minutes late, go directly to your examination venue. You will be permitted to sit the examination but no extra time will be allocated.
•    If you are more than 60 minutes late you will not be allowed to sit the exam. Report to your Student Advising Office as soon as possible if you require guidance on what to do next.
ONLINE
Students sitting MS Teams exams are required to log on up to 45 minutes before the start of the exam for an ID check and to resolve any technical issues. 
If you are more than 60 minutes late for your exam or have misread the timetable and missed your exam, you will not be allowed to sit the exam.
Student Administration is always open during exams for any questions or concerns you have about your exam. You can also contact us by phone on +618 6488 1212. If you're late as a result of circumstances beyond your control, you may be eligible to apply for special consideration to sit a deferred exam."
"I have a health condition. How can I implement exam adjustments?","Contact UniAccess, UWA's Disability and Accessibility Support Service, at least four weeks prior to the commencement of the exam period and they will make suitable arrangements for you. UniAccess is part of Student Support Services and is located on the 1st Floor of Student Central.
UniAccess can be contacted by email UniAccess or by phoning the call-back service on 6488 4630. UniAccess has an online booking system, offering face to face and virtual appointments: go to Book a UniAccess appointment."
"What happens if I experience difficulties during the year which may affect my exams?","If you are experiencing personal difficulties, speak with your Student Advising Office to request Special Consideration.
You can also contact the UWA Counselling and Psychological service. They provide a professional and confidential service which is free of charge to UWA students."
"What can and can't be brought into an exam?","All Examinations
 
You must take your UWA Student Campus Card or a valid government ID such as a driver's license or passport to all examinations and place it on your desk, including for online exams, and:


Your mobile phone must be switched off prior to entering an examination venue. It should be placed face up underneath your chair at all times.
Personal belongings including your bag may be taken into all venues. It must be stored underneath your chair. 

For on campus exams, do not leave your bag/valuables etc. outside examination venues. These items are your responsibility and the University does not take responsibility for any losses.
 

 
Check the permitted item on your exam timetable. This will be available 2 weeks before your exams, and outlines all approved materials for your exam, including whether use of an approved calculator is permitted.
 
You CAN take into Examinations:

Permitted item on your exam timetable.
Transparent pencil cases or bag - should only contain writing implements required to complete an exam.
Mobile phones may be taken into the exam venue but must be switched off prior to entrance and left in your bag or face up underneath your desk.
Bottled water only -  in a transparent bottle. Labels to be removed prior to entering the exam venue.

At the beginning of each examination you will be warned about unauthorised materials and given the opportunity to surrender materials in your possession without penalty.
 
You CANNOT take into Examinations:

Non-transparent pencil cases
Calculator cases
Caps, hats, wallets, headphones, ear buds/ plugs
Diaries
Personal organisers
Laptop computers (unless you are sitting an online exam)
Audio equipment, eg: microphone (unless you are sitting an online exam)
Smart watches or digital watches
iPods or MP3/4 players 
Any electronic item with an INTERNET CONNECTION, ELECTRONIC COMMUNICATION/ STORAGE DEVICE OR DIGITAL FACILITY (with the exception of a computer if you're sitting an online exam)


You CANNOT take into Examinations unless stated on the permitted items:

Calculators - approved models only with 'UWA approved stickers'. For online examinations, you must have a calculator from the approved list, however it does NOT need an approved sticker. 
Loose papers, including blank scrap paper for notes (for online exams)"
"What are the rules for my exams?","The University website has full details of the exam rules, please familiarise yourself with them before the exam period starts."
"What time will my exams start?","Examination start times are:

9:00am
2:00pm

Once published, your exam timetable is available via studentConnect."
"When is my exam timetable available?","Your personal exam timetable is published five weeks before the exam period on studentConnect.
The supplementary and deferred examination timetable is released at least 10 days before the exam period on studentConnect.
No alternative arrangements for examinations will be made for students who have made travel arrangements before their personal timetable has been released on studentConnect.
UWA staff members are not permitted to provide exam timetable information over the phone."
"What if my exams clash?","Follow these instructions if you have a clash in your exam timetable:

Your timetable will state the exam is in a clash venue, this means the clash has been resolved by the exams office, and your timetable is correct. Go to the venue published in your timetable twenty minutes prior to the start of your exam.

You will be required to sign a student declaration form before you can sit your exam, declaring that you have not sighted the examination paper, nor have you been in contact with anyone who has already sat the exam."
"Who can I talk to about my results?","If you would like to discuss your results, you should speak with your unit co-ordinator in regards to your individual units. If you are still dissatisfied you may consider submitting a Review.
It is recommended you informally discuss your concerns with the relevant unit coordinator prior to lodging a formal request for a Review. Formal requests for review must be lodged within 10 working days of receipt of the academic decision. You must also determine whether you have grounds for a review in accordance with the University Policy on Review & Appeal of Academic Decisions Relating to Students.

If you want to discuss your overall unit results and how your course plan may be impacted, contact your Student Advising Office."
"Will I receive advice of my results in the mail?","A hard copy advice of results is not mailed out. Your results will only be available on studentConnect once they have been released."
"When will my semester 2 results be released?","Examination periods and the dates when results are released are listed on the Exams website under important dates."
"My assessment is weighted. What does this mean?","Weighting means some of your assessments are worth more than others. This means assessments that were awarded the same raw mark will contribute differently to your overall mark for the unit.
For example: Imagine you have a mid-semester test that is marked out of 30 and you have a major assignment that is also marked out of 30. You see in your Unit Outline that the assignment is weighted at 50% of the final mark and the mid-semester test is weighted at 10% of the final mark. Ultimately, this means that if you score 20 out of 30 for both pieces of assessment, the mid-semester test contributes 6.6 marks (20/30 of 10 marks) and the major assignment contributes 33.3 marks (20/30 of 50 marks) to your final result."
"Can I still sit my exam if I have lost my Campus Card?","You won't be able to sit your exam unless you have your UWA student Campus Card, or Government issues ID such as a driver's license or passport with you.
If you have lost your student card report it online as soon as possible. To get a replacement, go to Student Administration near the Oak Lawn and Guild Village during opening hours.
Student Administration is also open for extended hours during exams for you to get a new or replacement campus card before your examination.
There is a replacement fee of $15 for students."
"What does each grade code mean?","Post 2005
AE - Alternative Exit
AC - Assessment Continuing
CR - Credit Pass (60-69%)
D - Distinction (70-79%)
DE - Deferred Examination Granted
FA - Failed Alternative
FC - Failed Component
FN - Fail Due to Non Completion
FS - Failed Supplementary
HD ­- Higher Distinction (80-100%)
N - Fail (0-44%)
N+ - Fail (45-49%)
NA - Results not Available
NC - Not Complete
NE - Non-examinable
P - Pass (50-59%)
PA - Passed Alternative
PS - Passed Supplementary
PT - Pass Thesis
SG - Supplementary Examination Granted
UF - Ungraded Fail
UP - Ungraded Pass
WD - Withdrawn without penalty
WE - Not permitted to sit Exams
WR - Withdrawn - research unit
WZ - Enrolment Cancelled
Honours results
H1 - First Class Honours
H2 - Second Class Honours
2A - Second Class Honours (Division A)
2B - Second Class Honours (Division B)
H3 - Third Class Honours
HN - Honours Classification
DI - Distinction
DX - Higher Distinction
 

Pre- 2005
CR - Credit Pass (60-69%)
CU - Credit Unit
D - Distinction (70-79%)
DE - Deferred Examination Granted
EX - Exempt
F - Ungraded Fail
FN - Fail Due to Non Completion
HD ­- Higher Distinction (80-100%)
N+ - Fail (45-49%)
N - Fail (40-44%)
NM - Fail (0-39%)
NA - Results not Available
NE - Non Examinable
NL - Fail - Pass Granted in a Lesser unit
NP - May Not Proceed
NQ - Fail - Granted Qualifying Examination
NS - Fail - Granted Supplementary Examination
P - Pass (50-59%)
PA - Pass
P* - Pass Conditional
PD - Pass Degree Approved
PE - Result Pending
PI - Distinction
QF - Qualifying Exam - Fail
QP - Qualifying Exam - Pass
QS - Sat Qualifying Examination
RP, RL - May Re-enrol
SA - Suspension of Candidature Approved
SL - Suspended - At Time Limit
SN - Course Incomplete - Unsatisfactory progress
SP - Course Incomplete - Satisfactory Progress
SU - Unit Suspended
TD - Thesis Deferred
TE - Candidature Terminated
TG - Transfer Downgrade
TL - Candidature Lapsed
TR - Thesis Resubmit
TS ­- Transfer Same Level
TU - Transfer Upgrade
UP­ - Ungraded Pass
UF - Ungraded Fail
WD ­- Withdrawn without penalty
WE ­- Not permitted to Sit Examinations
WF - Withdrawn - Non Payment of Fees
WH - Results Withheld
WN - Withdrawn Deemed Failed
WT - Withdrawn Thesis Submitted
WZ - Enrolment Cancelled
XX - Part Unit No Separate Result
Honours results
H1 - First Class Honours
2A - Second Class Honours (Division A)
2B - Second Class Honours (Division B)
H2 - Second Class Honours
H3 - Third Class Honours
DH - Dentistry Honours completed
MH - MBBS Honours completed
PD - Pass Degree Approved
Sanction/Progress Status Outcomes
A1 - Permitted to continue
E1 - Exclude - one Year
E2 - Exclude - two years
E5 - Exclude - five years
L1 - Unsatisfactory - explain
L2 - Unsatisfactory - exclude
L3 - Unit failed
L4 - Pass in a lesser unit
L5 - Conditional pass
RC - Re-enrol subject to conditions
RO - Repeat without penalty
RF - Repeated Failure
RQ - Repeat subject to quota
RT - Repeat
RW - Repeated withdrawal
U1 - Unsatisfactory - explain
U2 - Exclude - unsatisfactory
U5 - Exclude - five years
OP - On Probation
PR - Permitted to re-enrol
SU - Suspended
EX - Exclude

Pre - 1997
AB - Absent - Deemed Failed
A+ - Higher Distinction (80-100%)
A - Distinction (75-79%)
B+ - Credit Pass (70-74%)
B - Credit Pass (65-69%)
C+ - Pass (60-64%)
C - Pass (50-59%)
C- - Pass
C* - Conditional Pass
P - Ungraded Pass
W1, W2, W3- Withdrawn. Not counted as a fail
Progress Status Outcomes
OP - On Probation
PR - Permitted to re-enrol
SU - Suspended
EX - Exclude
Notes:
Publication of Points - Points for units will only be published from 2005 onwards.
 
Calculation of GPA - At UWA your grade point average (GPA) is a simple numerical index which summarises academic performance in a course. Your GPA is reported on your Statement of Academic Record and published under the studentConnect Progression Link. GPA will only appear on your Statement of Academic Record if you commenced your course from 2005 onwards.
 
Weighted Average Mark (WAM) - WAM is your weighted average mark for the whole course based on your current achievement. WAM will only appear on your Statement of Academic Record if you commenced your course from 2005 onwards.
 
Advanced Standing/Credit Units - From 2005, credit units ceased to be recorded with a grade of CU.
*Denotes Credit Transfer"
"What do I do if I have failed a unit?","If you have failed a unit you will need to adjust your study plan to complete your course. This may extend the time needed to complete your course or you may be able to make up the failed unit by taking a unit during the UWA Summer School or another non-standard teaching period. Your Student Advising Office is available to assist you.
 
If you are eligible for a supplementary assessment a grade of SG will show on studentConnect when you check your results. You can check the unit description in the Handbook to see whether supplementary assessment is available for the unit you have failed.
 
If you believe there is an error in your final mark, contact the relevant Unit Coordinator to discuss your concerns. If an informal resolution cannot be reached you can request a Review. A Review must be submitted within 10 university working days from the day you received your final mark."
"What is a Statement of Academic Record?","A Statement of Academic Record (or Academic Transcript) is an official record of all of your studies at The University of Western Australia.
Your Statement of Academic Record states your:

Full name
Student ID
Name of your degree or award course/s
All of your units with grades (if available)
Your majors, minors, programs and specialisations (if applicable)
The year you commenced your course/s
The date of your completion or graduation/s, where available

It also shows:

Credit points for post-2005 units
Grade Point Average (GPA) for post-2005 courses
Weighted Average Mark (WAM) for post-2005 courses
Grading scheme
Official prizes and awards, and some scholarships

You can order your Statement of Academic Record from studentConnect (for current students) or the online portal (for past students and graduates) as a paper document or digital document."
"How do I order my Statement of Academic Record and Statement of Qualification?","Academic documents can be ordered either: 

Online by selecting either ‘current student’ or ‘past student’ and following the instructions, or
Express in-person at Student Administration with photographic ID, and proof of name change if applicable. This option is not available for Letters of Enrolment. 

Prices, delivery options, processing times and sample documents are available on our Academic documents website. The processing times listed on the website are guaranteed, so you will not receive a second email to say when you can collect your hard copy document. 
Orders are unavailable during the University shutdown period.
Pre-orders for current students 
You can pre-order your academic documents up to 45 days before the main semesters’ results are released. If you're studying units that have a different results release date to the main semesters, check when your results will be released on the Non-Standard Teaching Periods web page and order your documents after that date.
My eQuals digital document order
If you've ordered a My eQuals document, you will receive an email to your personal email once your document has been produced with instructions and links to access it. If you haven't received your email by 12pm the following business day after placing your order, search 'my equals' in your inbox, or contact Student Administration. If you're having issues viewing your documents in your My eQuals account, try switching your browser to Chrome, Firefox, Safari, or EDGE (Internet Explorer 11 and older versions aren't supported).
Collecting your document in person
If you choose to collect your document, you'll need to show your UWA Campus Card or other photo ID to collect your order. If you have nominated someone else to collect your document for you, they will need to show their photo ID. 
Collections are unavailable during the University shutdown period.
Posting your document
Coming to campus isn't always convenient, so we can post or courier your documents to you, or directly to a third party on your behalf. If you need to track your documents, select courier as your delivery option and contact Student Administration for a tracking number. If you're posting to a PO box, it's not possible to send your documents via courier. 
Changing your delivery option
If you've chosen to collect your document but then find that you're no longer able to, you can nominate someone else to collect it on your behalf or arrange another delivery method by using Email Us to contact the Student Administration team."
"When can I expect to receive my ordered Statement of Academic Record?","There are different processing time options when ordering your academic documents:

Standard documents: two University working days after 12:00pm
Standard letters: five University working days after 12:00pm
Express documents: three University business hours 
Next day service: the following University working day after 12:00pm
Digital My eQuals documents: the following University working day after 12:00pm 

Confirmation of your order
When you place an order for an Academic Document, we'll send you an email receipt with your document/s and delivery details as well as processing and delivery times. As our production times are guaranteed, and we don't want to clutter your inbox with unnecessary emails, we won't send you an additional email once your order has been produced unless you order a My eQuals document. 
If you don't receive a receipt, or don't receive an email from My eQuals by the next business day, get in touch with us via Email us. 
I’m collecting my document in person
If you've selected to collect your document in person from Student Central, come in with your Campus Card or other photographic ID during opening hours following the processing time lines above.
If you're not able to come in to collect your order, you have the option to authorise someone else to collect your document on your behalf. 
I’m having my document posted
If you've requested your Statement of Academic Record (transcript) be posted or couriered it will be dispatched as per the above time lines, and you can expect to it to be delivered as per the estimated times below:

International courier: approximately four working days (can be tracked)
Domestic Registered Post: approximately four working days (can be tracked)
Domestic courier: estimated one to two working days (can be tracked)

I've pre-ordered my documents
If you have pre-ordered a paper copy document for either after the release of results or after your graduation, your documents will be available to collect (or be posted) two working days after the date results are released, or of you graduation ceremony.
If you have pre-ordered a digital Statement of Academic Record, you will receive an email after the release of results or your graduation ceremony to confirm that your document is online and ready for you to access via a registration (or log on) link for your personalised My eQuals portal. 
Ordering documents during the holidays
We are open between semesters, so if you need a document during the semester break you will still able to place an order.
The University closes for Christmas and Easter, during these times academic document orders are not available. Orders will be closed midnight Thursday 15 December 2022, and re-open Monday 9 January 2023.
Pre-1968 Students
If your enrolment was prior to 1968 your documents may take longer to produce. Student Administration will contact you if there are any delays."
"Do I receive a copy of my Statement of Academic Record when I complete my course?","When you graduate you will receive your original hard copy degree certificate (testamur) and the option to sign up for access to certified digital copies of your degree certificate and Australian Higher Education Graduation Statement (AHEGS) free of charge.
You'll receive an email after your graduation ceremony to confirm that your documents are online and ready for you to access via a registration link for your personalised My eQuals portal. Find out more about My eQuals.
You also have the option to order and pay for a digital copy of your Statement of Academic Record (academic transcript) online via studentConnect. This is not provided free of charge at graduation in either hardcopy or digital form.
Pre-ordering your transcript
You can pre-order your academic transcript on studentConnect up to 45 days before your final results have been released, or once you have completed your course and been assigned a graduation ceremony. Pre-ordered paper documents will be available to collect two working days after the release of results; for digital documents you will receive an email after your graduation ceremony to confirm that your document is online and ready for you to access via a registration link for your personalised My eQuals portal. If you order a hardcopy transcript to be collected from Student Central, you will not receive an email to let you know when your document is ready to be collected as the processing times listed on the website are guaranteed. 
Orders and collections are unavailable during the University shutdown period."
"Can I receive an electronic copy of my Statement of Academic Record?","Students have the option to order a digital version of their UWA Statement of Academic Record (transcript) issued via My eQuals. Digital documents issued via My eQuals are securely stored and available to you anytime and anywhere, saving you time and money.
Once UWA has uploaded your requested document, you can use My eQuals to safely share your documents with anyone, at any time, for however long you like. When you share a document from the repository, the person you invite to view your document will receive an email directly from My eQuals (Digitary) and not from your student email account. This is how external organisations can know this is a legitimate document coming from the secure repository.
You still have the option to order a paper (hard copy) version of your Statement of Academic Record and other official academic documents.
Hard copy academic documents and records are printed on official UWA secure paper. In order to maintain the integrity of these documents, to verify that they are authentic, and to avoid fraudulent alterations they cannot be emailed. Once you have received a hard copy document, you can then scan your own copy as required. Authenticated soft-copy academic documents can be ordered and will be available via My eQuals."
"What is a Statement of Qualification?","A Statement of Qualification (or Letter of Completion) is an official hardcopy University document that can be used as evidence that you have completed the requirements of your course of study, and is often used by students who have completed their studies but not yet graduated. This statement does not include information of any studies undertaken at CELT (Centre for English Language Teaching) or UWA College.
 
The Statement of Qualification is printed on official UWA secure paper and signed by the Associate Director, Student Services & Engagement. The document states:

Your full name
Your student ID
Your courses
The dates you commenced and completed your award/s
The date of your graduation/s (if applicable)
Confirmation that all instruction at the University of Western Australia is taught in English

Current students can order and pay for their Statement via studentConnect. Past graduates can use the online portal for order and payment.
 
Statements of Qualification are produced as hard copy documents only. If you would like a digital document, you may wish to order a Statement of Academic Record, or wait until you graduate when you'll receive free access to a digital copy of your degree certificate and AHEGS via My eQuals."
"I have completed my course and want to apply for Australian Permanent Residency. What documentation do I need?","When you apply for Australian Permanent Residency you may need to order documents from Student Central to support your application, such as a Statement of Academic Record and/or a Statement of Qualification. 
It’s a good idea for you to check with the Department of Home Affairs to find out exactly what documentation you will need.
You can see examples of documents on our current student website, and can place your order through the Online Portal."
"Can I order express documents?","Student Central provides Express and Next Day services for documents you require urgently. Due to processing times, the option to order express or next day services varies depending on the document type.

Express orders will be ready three University working hours after we receive your completed order via the Online Portal or in person at Student Central.
Next day orders will be ready by 12:00pm the following University business day after we receive your completed order via the Online Portal or in person at Student Central.

You can see samples of our documents, prices, delivery options, and information on how to place an order on our Academic documents web page.
Documents can be collected during Student Administration opening hours, and are not available to order or collect over the University shutdown period."
